,andrej-karpathy-distilled,ayn-rand-distilled,balaji-srinivasan-distilled,cathie-wood-distilled,charlie-munger-distilled,elon-musk-distilled,george-soros-distilled,howard-marks-distilled,jensen-huang-distilled,marc-andreessen-distilled,nassim-taleb-distilled,nassim-taleb-light,naval-ravikant-distilled,paul-graham-distilled,paul-graham-light,peter-thiel-distilled,peter-thiel-light,ray-dalio-distilled,richard-hamming-distilled,richard-hamming-light,sam-altman-distilled,vanilla_opus_4_7,vanilla_sonnet_4_6,warren-buffett-distilled,warren-buffett-light
andrej-karpathy-distilled,1.0,0.9130434782608695,0.8051948051948052,0.8354430379746836,0.8169014084507042,0.868421052631579,0.9078947368421053,0.9295774647887324,0.9066666666666666,0.8271604938271605,0.9545454545454546,0.8088235294117647,0.8831168831168831,0.7887323943661971,0.7142857142857143,0.8873239436619719,0.8421052631578947,0.8846153846153846,0.972972972972973,0.9027777777777778,0.8518518518518519,0.8227848101265823,0.8289473684210527,0.8513513513513513,0.684931506849315
ayn-rand-distilled,0.9130434782608695,1.0,0.8513513513513513,0.8157894736842105,0.8285714285714286,0.8648648648648649,0.9027777777777778,0.927536231884058,0.8888888888888888,0.8311688311688312,0.9545454545454546,0.8636363636363636,0.9342105263157895,0.8309859154929577,0.7662337662337663,0.9305555555555556,0.9452054794520548,0.8552631578947368,0.9078947368421053,0.8648648648648649,0.8461538461538461,0.8461538461538461,0.8181818181818182,0.863013698630137,0.6944444444444444
balaji-srinivasan-distilled,0.8051948051948052,0.8513513513513513,1.0,0.8674698795180723,0.7837837837837838,0.8641975308641975,0.9024390243902439,0.8765432098765432,0.8354430379746836,0.8372093023255814,0.8472222222222222,0.7945205479452054,0.8588235294117647,0.8289473684210527,0.7857142857142857,0.8354430379746836,0.8780487804878049,0.8452380952380952,0.8354430379746836,0.8354430379746836,0.8470588235294118,0.8045977011494253,0.7951807228915663,0.7974683544303798,0.6835443037974683
cathie-wood-distilled,0.8354430379746836,0.8157894736842105,0.8674698795180723,1.0,0.7894736842105263,1.0,0.9404761904761905,0.935064935064935,0.9518072289156626,0.9431818181818182,0.8428571428571429,0.704225352112676,0.8823529411764706,0.8181818181818182,0.8117647058823529,0.8051948051948052,0.8414634146341463,0.9647058823529412,0.8795180722891566,0.9506172839506173,0.9659090909090909,0.8977272727272727,0.927710843373494,0.810126582278481,0.7160493827160493
charlie-munger-distilled,0.8169014084507042,0.8285714285714286,0.7837837837837838,0.7894736842105263,1.0,0.8,0.8767123287671232,0.9166666666666666,0.8243243243243243,0.8048780487804879,0.9230769230769231,0.8333333333333334,0.8947368421052632,0.9166666666666666,0.8701298701298701,0.7464788732394366,0.7972972972972973,0.8461538461538461,0.8181818181818182,0.7916666666666666,0.8227848101265823,0.810126582278481,0.8481012658227848,0.9753086419753086,0.9473684210526315
elon-musk-distilled,0.868421052631579,0.8648648648648649,0.8641975308641975,1.0,0.8,1.0,0.9382716049382716,0.935064935064935,0.9634146341463414,0.9529411764705882,0.875,0.7464788732394366,0.8809523809523809,0.8441558441558441,0.8333333333333334,0.8311688311688312,0.8452380952380952,0.9642857142857143,0.926829268292683,0.9871794871794872,0.9764705882352941,0.9186046511627907,0.926829268292683,0.8205128205128205,0.7
george-soros-distilled,0.9078947368421053,0.9027777777777778,0.9024390243902439,0.9404761904761905,0.8767123287671232,0.9382716049382716,1.0,0.987012987012987,0.9493670886075949,0.9411764705882353,0.9142857142857143,0.8142857142857143,0.9285714285714286,0.8918918918918919,0.8313253012048193,0.8767123287671232,0.9102564102564102,0.9879518072289156,0.9135802469135802,0.9230769230769231,0.9761904761904762,0.9186046511627907,0.9506172839506173,0.8947368421052632,0.7402597402597403
howard-marks-distilled,0.9295774647887324,0.927536231884058,0.8765432098765432,0.935064935064935,0.9166666666666666,0.935064935064935,0.987012987012987,1.0,0.9459459459459459,0.963855421686747,0.9420289855072463,0.8088235294117647,0.9512195121951219,0.9459459459459459,0.9,0.8767123287671232,0.8701298701298701,0.9753086419753086,0.9342105263157895,0.9078947368421053,0.9873417721518988,0.891566265060241,0.9382716049382716,0.9605263157894737,0.7894736842105263
jensen-huang-distilled,0.9066666666666666,0.8888888888888888,0.8354430379746836,0.9518072289156626,0.8243243243243243,0.9634146341463414,0.9493670886075949,0.9459459459459459,1.0,0.9397590361445783,0.8955223880597015,0.75,0.9146341463414634,0.8493150684931506,0.8,0.8513513513513513,0.8846153846153846,0.9876543209876543,0.9367088607594937,0.9605263157894737,0.9518072289156626,0.9397590361445783,0.9493670886075949,0.868421052631579,0.7012987012987013
marc-andreessen-distilled,0.8271604938271605,0.8311688311688312,0.8372093023255814,0.9431818181818182,0.8048780487804879,0.9529411764705882,0.9411764705882353,0.963855421686747,0.9397590361445783,1.0,0.8378378378378378,0.7027027027027027,0.9318181818181818,0.8780487804878049,0.8764044943820225,0.7777777777777778,0.8117647058823529,0.9666666666666667,0.8255813953488372,0.891566265060241,0.967032967032967,0.9456521739130435,0.9886363636363636,0.8588235294117647,0.7619047619047619
nassim-taleb-distilled,0.9545454545454546,0.9545454545454546,0.8472222222222222,0.8428571428571429,0.9230769230769231,0.875,0.9142857142857143,0.9420289855072463,0.8955223880597015,0.8378378378378378,1.0,0.8955223880597015,0.8918918918918919,0.8873239436619719,0.7792207792207793,0.9154929577464789,0.863013698630137,0.8648648648648649,0.918918918918919,0.8714285714285714,0.8611111111111112,0.8571428571428571,0.8289473684210527,0.9154929577464789,0.7428571428571429
nassim-taleb-light,0.8088235294117647,0.8636363636363636,0.7945205479452054,0.704225352112676,0.8333333333333334,0.7464788732394366,0.8142857142857143,0.8088235294117647,0.75,0.7027027027027027,0.8955223880597015,1.0,0.7777777777777778,0.8405797101449275,0.7297297297297297,0.8985507246376812,0.8591549295774648,0.7605633802816901,0.8333333333333334,0.7971014492753623,0.7534246575342466,0.7297297297297297,0.7222222222222222,0.7971014492753623,0.7
naval-ravikant-distilled,0.8831168831168831,0.9342105263157895,0.8588235294117647,0.8823529411764706,0.8947368421052632,0.8809523809523809,0.9285714285714286,0.9512195121951219,0.9146341463414634,0.9318181818181818,0.8918918918918919,0.7777777777777778,1.0,0.8846153846153846,0.8023255813953488,0.8333333333333334,0.8705882352941177,0.9195402298850575,0.8690476190476191,0.8433734939759037,0.9069767441860465,0.9111111111111111,0.9176470588235294,0.9259259259259259,0.7804878048780488
paul-graham-distilled,0.7887323943661971,0.8309859154929577,0.8289473684210527,0.8181818181818182,0.9166666666666666,0.8441558441558441,0.8918918918918919,0.9459459459459459,0.8493150684931506,0.8780487804878049,0.8873239436619719,0.8405797101449275,0.8846153846153846,1.0,0.9375,0.8289473684210527,0.8205128205128205,0.8734177215189873,0.8026315789473685,0.821917808219178,0.8860759493670886,0.8536585365853658,0.9,0.9090909090909091,0.8133333333333334
paul-graham-light,0.7142857142857143,0.7662337662337663,0.7857142857142857,0.8117647058823529,0.8701298701298701,0.8333333333333334,0.8313253012048193,0.9,0.8,0.8764044943820225,0.7792207792207793,0.7297297297297297,0.8023255813953488,0.9375,1.0,0.7215189873417721,0.75,0.8275862068965517,0.7529411764705882,0.7926829268292683,0.8505747126436781,0.8241758241758241,0.8505747126436781,0.8780487804878049,0.8333333333333334
peter-thiel-distilled,0.8873239436619719,0.9305555555555556,0.8354430379746836,0.8051948051948052,0.7464788732394366,0.8311688311688312,0.8767123287671232,0.8767123287671232,0.8513513513513513,0.7777777777777778,0.9154929577464789,0.8985507246376812,0.8333333333333334,0.8289473684210527,0.7215189873417721,1.0,0.9113924050632911,0.8125,0.9102564102564102,0.8533333333333334,0.8227848101265823,0.7530864197530864,0.7625,0.7702702702702703,0.6027397260273972
peter-thiel-light,0.8421052631578947,0.9452054794520548,0.8780487804878049,0.8414634146341463,0.7972972972972973,0.8452380952380952,0.9102564102564102,0.8701298701298701,0.8846153846153846,0.8117647058823529,0.863013698630137,0.8591549295774648,0.8705882352941177,0.8205128205128205,0.75,0.9113924050632911,1.0,0.8658536585365854,0.8888888888888888,0.9,0.8571428571428571,0.8255813953488372,0.8072289156626506,0.7974683544303798,0.654320987654321
ray-dalio-distilled,0.8846153846153846,0.8552631578947368,0.8452380952380952,0.9647058823529412,0.8461538461538461,0.9642857142857143,0.9879518072289156,0.9753086419753086,0.9876543209876543,0.9666666666666667,0.8648648648648649,0.7605633802816901,0.9195402298850575,0.8734177215189873,0.8275862068965517,0.8125,0.8658536585365854,1.0,0.8823529411764706,0.9382716049382716,0.9886363636363636,0.9438202247191011,0.9767441860465116,0.8780487804878049,0.7407407407407407
richard-hamming-distilled,0.972972972972973,0.9078947368421053,0.8354430379746836,0.8795180722891566,0.8181818181818182,0.926829268292683,0.9135802469135802,0.9342105263157895,0.9367088607594937,0.8255813953488372,0.918918918918919,0.8333333333333334,0.8690476190476191,0.8026315789473685,0.7529411764705882,0.9102564102564102,0.8888888888888888,0.8823529411764706,1.0,0.95,0.8928571428571429,0.8372093023255814,0.8192771084337349,0.8481012658227848,0.6835443037974683
richard-hamming-light,0.9027777777777778,0.8648648648648649,0.8354430379746836,0.9506172839506173,0.7916666666666666,0.9871794871794872,0.9230769230769231,0.9078947368421053,0.9605263157894737,0.891566265060241,0.8714285714285714,0.7971014492753623,0.8433734939759037,0.821917808219178,0.7926829268292683,0.8533333333333334,0.9,0.9382716049382716,0.95,1.0,0.9390243902439024,0.8928571428571429,0.8780487804878049,0.8051948051948052,0.6623376623376623
sam-altman-distilled,0.8518518518518519,0.8461538461538461,0.8470588235294118,0.9659090909090909,0.8227848101265823,0.9764705882352941,0.9761904761904762,0.9873417721518988,0.9518072289156626,0.967032967032967,0.8611111111111112,0.7534246575342466,0.9069767441860465,0.8860759493670886,0.8505747126436781,0.8227848101265823,0.8571428571428571,0.9886363636363636,0.8928571428571429,0.9390243902439024,1.0,0.9111111111111111,0.9764705882352941,0.8433734939759037,0.7195121951219512
