pair_id,cohort_key,correct_side,n_A,n_B,n_flipped,n_missing,majority,majority_correct,agreement_pct,n_total
2023Q4_TypeScript_009,2023Q4__TypeScript,B,0,25,0,0,B,True,100.0,25
2020Q3_C_000,2020Q3__C,B,1,23,1,0,B,True,95.8,25
2021Q4_Python_005,2021Q4__Python,A,19,1,5,0,A,True,95.0,25
2022Q2_Go_006,2022Q2__Go,B,6,13,6,0,B,True,68.4,25
2020Q2_Go_011,2020Q2__Go,B,0,23,2,0,B,True,100.0,25
2022Q3_Rust_000,2022Q3__Rust,B,0,25,0,0,B,True,100.0,25
2023Q3_Python_001,2023Q3__Python,A,25,0,0,0,A,True,100.0,25
2021Q2_Go_002,2021Q2__Go,A,3,17,5,0,B,False,85.0,25
2021Q3_TypeScript_005,2021Q3__TypeScript,A,7,14,4,0,B,False,66.7,25
2023Q4_TypeScript_008,2023Q4__TypeScript,B,4,12,9,0,B,True,75.0,25
2023Q4_Python_016,2023Q4__Python,B,0,25,0,0,B,True,100.0,25
2022Q4_JavaScript_005,2022Q4__JavaScript,B,0,24,1,0,B,True,100.0,25
2020Q3_Java_000,2020Q3__Java,B,0,25,0,0,B,True,100.0,25
2022Q3_TypeScript_006,2022Q3__TypeScript,A,0,25,0,0,B,False,100.0,25
2020Q3_Swift_000,2020Q3__Swift,A,13,7,5,0,A,True,65.0,25
2021Q3_JavaScript_001,2021Q3__JavaScript,B,0,25,0,0,B,True,100.0,25
2020Q2_C++_003,2020Q2__C++,B,10,8,7,0,A,False,55.6,25
2020Q2_C++_001,2020Q2__C++,A,14,5,6,0,A,True,73.7,25
2022Q4_C_003,2022Q4__C,B,0,25,0,0,B,True,100.0,25
2023Q3_Python_005,2023Q3__Python,B,1,24,0,0,B,True,96.0,25
2022Q1_Go_008,2022Q1__Go,A,24,0,1,0,A,True,100.0,25
2020Q4_Python_007,2020Q4__Python,B,3,19,3,0,B,True,86.4,25
2020Q4_JavaScript_007,2020Q4__JavaScript,A,25,0,0,0,A,True,100.0,25
2023Q1_Shell_000,2023Q1__Shell,A,25,0,0,0,A,True,100.0,25
2020Q4_Go_004,2020Q4__Go,A,22,0,3,0,A,True,100.0,25
2020Q1_C++_000,2020Q1__C++,B,6,15,4,0,B,True,71.4,25
2022Q3_Python_000,2022Q3__Python,B,2,17,6,0,B,True,89.5,25
