,andrej-karpathy-distilled,ayn-rand-distilled,balaji-srinivasan-distilled,cathie-wood-distilled,charlie-munger-distilled,elon-musk-distilled,george-soros-distilled,howard-marks-distilled,jensen-huang-distilled,marc-andreessen-distilled,nassim-taleb-distilled,nassim-taleb-light,naval-ravikant-distilled,paul-graham-distilled,paul-graham-light,peter-thiel-distilled,peter-thiel-light,ray-dalio-distilled,richard-hamming-distilled,richard-hamming-light,sam-altman-distilled,vanilla_opus_4_7,vanilla_sonnet_4_6,warren-buffett-distilled,warren-buffett-light
andrej-karpathy-distilled,1.0,0.8484848484848485,0.875,0.9117647058823529,0.8873239436619719,0.9,0.8805970149253731,0.855072463768116,0.9577464788732394,0.9420289855072463,0.8307692307692308,0.7571428571428571,0.8970588235294118,0.9253731343283582,0.8493150684931506,0.7704918032786885,0.7142857142857143,0.8970588235294118,0.8571428571428571,0.8857142857142857,0.9041095890410958,0.9264705882352942,0.9558823529411765,0.9076923076923077,0.8285714285714286
ayn-rand-distilled,0.8484848484848485,1.0,0.8611111111111112,0.8769230769230769,0.7638888888888888,0.8571428571428571,0.8,0.7887323943661971,0.9178082191780822,0.8428571428571429,0.8,0.7222222222222222,0.8732394366197183,0.8153846153846154,0.6666666666666666,0.8676470588235294,0.8421052631578947,0.8382352941176471,0.8873239436619719,0.8985507246376812,0.8356164383561644,0.8028169014084507,0.875,0.7575757575757576,0.6714285714285714
balaji-srinivasan-distilled,0.875,0.8611111111111112,1.0,0.972972972972973,0.9054054054054054,0.9342105263157895,0.9452054794520548,0.9444444444444444,0.935064935064935,0.948051948051948,0.8767123287671232,0.84,1.0,0.9428571428571428,0.8311688311688312,0.8333333333333334,0.8243243243243243,0.9863013698630136,0.8888888888888888,0.9305555555555556,0.9615384615384616,0.8055555555555556,0.8904109589041096,0.9142857142857143,0.8108108108108109
cathie-wood-distilled,0.9117647058823529,0.8769230769230769,0.972972972972973,1.0,0.8857142857142857,0.9295774647887324,0.9242424242424242,0.9117647058823529,0.9305555555555556,0.9436619718309859,0.8769230769230769,0.8115942028985508,0.9710144927536232,0.953125,0.8333333333333334,0.847457627118644,0.8529411764705882,0.9552238805970149,0.8787878787878788,0.9402985074626866,0.958904109589041,0.8529411764705882,0.9117647058823529,0.8939393939393939,0.8142857142857143
charlie-munger-distilled,0.8873239436619719,0.7638888888888888,0.9054054054054054,0.8857142857142857,1.0,0.863013698630137,0.9166666666666666,0.9863013698630136,0.8552631578947368,0.8888888888888888,0.9027777777777778,0.863013698630137,0.9178082191780822,0.9859154929577465,0.9066666666666666,0.765625,0.7323943661971831,0.958904109589041,0.8450704225352113,0.863013698630137,0.8961038961038961,0.8472222222222222,0.8888888888888888,0.9863013698630136,0.9452054794520548
elon-musk-distilled,0.9,0.8571428571428571,0.9342105263157895,0.9295774647887324,0.863013698630137,1.0,0.8732394366197183,0.9027777777777778,0.9240506329113924,0.9473684210526315,0.9014084507042254,0.7972972972972973,0.9295774647887324,0.9411764705882353,0.8266666666666667,0.8769230769230769,0.8108108108108109,0.9436619718309859,0.9315068493150684,0.9594594594594594,0.9615384615384616,0.8714285714285714,0.9459459459459459,0.855072463768116,0.7702702702702703
george-soros-distilled,0.8805970149253731,0.8,0.9452054794520548,0.9242424242424242,0.9166666666666666,0.8732394366197183,1.0,0.971830985915493,0.8904109589041096,0.8732394366197183,0.8450704225352113,0.8493150684931506,0.9444444444444444,0.927536231884058,0.8289473684210527,0.7936507936507936,0.8028169014084507,0.9726027397260274,0.875,0.8857142857142857,0.92,0.8115942028985508,0.8493150684931506,0.9154929577464789,0.8611111111111112
howard-marks-distilled,0.855072463768116,0.7887323943661971,0.9444444444444444,0.9117647058823529,0.9863013698630136,0.9027777777777778,0.971830985915493,1.0,0.8552631578947368,0.8888888888888888,0.9154929577464789,0.8767123287671232,0.9444444444444444,0.9705882352941176,0.8783783783783784,0.8095238095238095,0.7916666666666666,1.0,0.8611111111111112,0.9014084507042254,0.9333333333333333,0.8169014084507042,0.863013698630137,0.9710144927536232,0.9014084507042254
jensen-huang-distilled,0.9577464788732394,0.9178082191780822,0.935064935064935,0.9305555555555556,0.8552631578947368,0.9240506329113924,0.8904109589041096,0.8552631578947368,1.0,0.9102564102564102,0.8472222222222222,0.7733333333333333,0.9333333333333333,0.9142857142857143,0.7894736842105263,0.8615384615384616,0.8243243243243243,0.9305555555555556,0.9041095890410958,0.9452054794520548,0.9240506329113924,0.8493150684931506,0.92,0.8309859154929577,0.7432432432432432
marc-andreessen-distilled,0.9420289855072463,0.8428571428571429,0.948051948051948,0.9436619718309859,0.8888888888888888,0.9473684210526315,0.8732394366197183,0.8888888888888888,0.9102564102564102,1.0,0.8405797101449275,0.7702702702702703,0.9571428571428572,0.9846153846153847,0.8552631578947368,0.8,0.75,0.9178082191780822,0.8571428571428571,0.8857142857142857,0.9473684210526315,0.8028169014084507,0.8767123287671232,0.9117647058823529,0.8194444444444444
