pair_id,cohort_key,correct_side,n_A,n_B,n_flipped,n_missing,majority,majority_correct,agreement_pct,n_total
e00dd7d40093a7076f519910070ac376913ad9ff__f0ebc0cd0793a11f2885bac8fc2bb1481fc3cece,Medicine__2020,A,24,1,0,0,A,True,96.0,25
23bc9d59a663fc804d6ae93095368bb98c184b97__6334bf097e8da5e414fa2ebaf72a507c1cd70fea,Biology / Life Sciences__2020,B,2,20,3,0,B,True,90.9,25
57bbdda69be379367fd1ff54602ff88fbeeda216__b0d8ea2706a1f0e3d65a35a4a96bb94325d95081,Medicine__2020,B,6,13,6,0,B,True,68.4,25
24b955605a9da626001f5b858e2b36ae8cc3cc64__7b579dcdc6795cd311d0b154d17f9108f29899d8,Physics__2020,B,1,19,5,0,B,True,95.0,25
b285b90ab4d6d1d726efc726b92f4075363004e6__e586659d6d24ea818d327150266eb2fb11faec74,Machine Learning__2020,B,1,15,9,0,B,True,93.8,25
1cebbcb575ff4a7c04e5a3ca04c188c4f8bf995d__aad2746868089ddce4ac2b9053c0080a2878a5d8,Economics__2020,A,4,13,8,0,B,False,76.5,25
a3d0b3f3d3a97111f92bed9867bc662eb3e3034d__adb7578e6035d3a26b7b3765cabf67d6aa128835,Chemistry & Materials Science__2020,A,21,1,3,0,A,True,95.5,25
cc723f5df7b6efd215b220c2f7fffa8ffc4d01db__d06b77b0e17d8e19e304dc0139851d2dafeb0865,Economics__2020,A,22,2,1,0,A,True,91.7,25
6b23c7a6c36d0f85d64a684da3db8069ace82a86__bd710cf0218d90e1ca1f19b656d67d5541a9449e,Physics__2020,A,5,10,10,0,B,False,66.7,25
0dd6fb6ef03b25bc3bb27afb64e8de384e07f209__9bec94abdc90a34abf5d9fa42fb3b9c70bb41afd,Mechanical & Aerospace Engineering__2020,A,15,3,7,0,A,True,83.3,25
bc2eb35d73fc77796b089c8f95d4a9731c7feed6__beab2d66f3e8c4645eeb1c7c11e4c6f4b413e73f,Medicine__2020,B,0,25,0,0,B,True,100.0,25
6a73b5f7a9101688e5a2d69b311d0eea43c6f2ac__c1d8b0a200fccaeee385694730ed93ddc88151ca,Biology / Life Sciences__2020,B,1,24,0,0,B,True,96.0,25
778ca7685ad626105b7ac2b5475ca5ea4b28c88e__9ece22dfb09c975013427cd8e934e0281f4f0173,Chemistry & Materials Science__2020,B,2,21,2,0,B,True,91.3,25
25c0c9a745a4b42e5fba4346300c817fc1a44b70__d2f9d17e093b585ea7a7c351768bac11aeecc088,Chemistry & Materials Science__2020,B,0,25,0,0,B,True,100.0,25
0d94cc516427b96bf2647bae5981d4441bd47e06__141e87def61bc02a3ecbb997501729384a7f530d,Physics__2020,B,2,21,2,0,B,True,91.3,25
64123deec83560eaade3b0ea27b4ca9a305876b2__e949121bc8f202a218ccdae516a0714056251d4f,Mechanical & Aerospace Engineering__2020,A,25,0,0,0,A,True,100.0,25
79526fbbf2b5b665dd48313de7710b8a61ae1350__bfc1f657d4300c37a66a1ecaff22619f3760dfbf,Mechanical & Aerospace Engineering__2020,B,4,14,7,0,B,True,77.8,25
572c12e81319ccd47cc0c637c82efadd03fd05ab__b2881852a6b072c731c0a54001d2908b488cd86e,Machine Learning__2020,A,2,15,8,0,B,False,88.2,25
54f653ece199f2366d66929cdef66037eabcda4d__8c8021ffb9a042c7038c97863ab7d77d768f1b65,Medicine__2020,B,0,25,0,0,B,True,100.0,25
